an_profil,an_donnee,cod_geo_n,nom_mun,designation,population,classe_population,cod_mrc,nom_mrc,cod_ra,nom_ra,cod_cm,nom_cm,RFU3000,RFU0501,RFU0600,RFU0601,PRC1400,PRC1401,PRC1500,PRC1501,PRC1600,PRC1601,PRC2200,RFU3001,PRC2201,PRC2300,PRC2000,RAT0130,RAT0131,IND0102,RFU3002,RFU3003,RFU0700,RFU0702,PRR0202,PRR0203,RFU0400,RFU0401,RFU0500
2023,2023,06005,Maria,M,2673,2 000 @ 9 999,AR060,Avignon,11,Gaspésie-Îles-de-la-Madeleine,,,327703054.000000,,10419900.000000,,0.863500,,0.082300,,0.017000,,0.037300,,,228578.000000,184220.000000,192201.000000,,70.000000,1705.000000,,279460600.000000,,241300500.000000,,22994900.000000,,4745300.000000
2023,2023,06013,Carleton-sur-Mer,V,4190,2 000 @ 9 999,AR060,Avignon,11,Gaspésie-Îles-de-la-Madeleine,,,503623215.040000,,16942612.000000,,0.809800,,0.139700,,0.014800,,0.035700,,,214711.000000,166875.000000,165993.000000,,60.000000,3034.000000,,474414665.600000,,384164044.000000,,66268317.600000,,7039692.000000
2023,2023,06020,Nouvelle,M,1723,1 @ 1 999,AR060,Avignon,11,Gaspésie-Îles-de-la-Madeleine,,,167881905.360000,,10474602.000000,,0.770900,,0.141000,,0.023200,,0.064900,,,149907.000000,124270.000000,100709.000000,,58.000000,1667.000000,,161278130.800000,,124323584.000000,,22738250.800000,,3741694.000000
2023,2023,06025,Escuminac,M,566,1 @ 1 999,AR060,Avignon,11,Gaspésie-Îles-de-la-Madeleine,,,62282473.000000,,8219770.000000,,0.788300,,0.051800,,0.024800,,0.135100,,,155403.000000,133814.000000,89230.000000,,51.000000,698.000000,,60819832.000000,,47942528.000000,,3150850.000000,,1506684.000000
2023,2023,06030,Pointe-à-la-Croix,M,1342,1 @ 1 999,AR060,Avignon,11,Gaspésie-Îles-de-la-Madeleine,,,101724195.320000,,5461014.000000,,0.771600,,0.168700,,0.002900,,0.056700,,,133995.000000,99089.000000,107987.000000,,62.000000,942.000000,,96279164.000000,,74292432.000000,,16243758.000000,,281960.000000
2023,2023,06035,Ristigouche-Partie-Sud-Est,CT,163,1 @ 1 999,AR060,Avignon,11,Gaspésie-Îles-de-la-Madeleine,,,20974050.000000,,1777619.000000,,0.844000,,0.048800,,0.022400,,0.084800,,,174334.000000,148809.000000,95772.000000,,55.000000,219.000000,,20974050.000000,,17701768.000000,,1024255.000000,,470408.000000
2023,2023,06040,Saint-André-de-Restigouche,M,151,1 @ 1 999,AR060,Avignon,11,Gaspésie-Îles-de-la-Madeleine,,,16597163.100000,,1723414.000000,,0.541100,,0.196900,,0.158100,,0.103900,,,90218.000000,79236.000000,56453.000000,,32.000000,294.000000,,16593346.000000,,8978963.000000,,3267943.000000,,2623026.000000
2023,2023,06045,Matapédia,M,618,1 @ 1 999,AR060,Avignon,11,Gaspésie-Îles-de-la-Madeleine,,,60890732.100000,,3629637.000000,,0.759000,,0.124400,,0.034100,,0.082500,,,108229.000000,90438.000000,120576.000000,,69.000000,505.000000,,43984551.600000,,33383988.000000,,5471769.600000,,1499157.000000
2023,2023,06050,Saint-Alexis-de-Matapédia,M,493,1 @ 1 999,AR060,Avignon,11,Gaspésie-Îles-de-la-Madeleine,,,31381237.800000,,1988415.000000,,0.720000,,0.100500,,0.114700,,0.064700,,,83294.000000,75800.000000,59774.000000,,34.000000,525.000000,,30719007.000000,,22119075.000000,,3086721.000000,,3524796.000000
2023,2023,06055,Saint-François-d'Assise,M,653,1 @ 1 999,AR060,Avignon,11,Gaspésie-Îles-de-la-Madeleine,,,37772104.720000,,2837884.000000,,0.753100,,0.138200,,0.031400,,0.077300,,,85165.000000,76287.000000,58927.000000,,34.000000,641.000000,,36697080.000000,,27636882.000000,,5070030.000000,,1152284.000000
